order_id,product_id,quantity,unit_price,discount_percentage,discount_amount,gross_sales,tax_amount,shipping_cost,net_sales,product_cost,profit
ORD-697815,PROD-000490,2,38.48,0.2234992443935218,17.2,76.96,4.18,5.86,69.8,36.5,27.44
ORD-669665,PROD-000207,2,245.74,0.1602438595339105,78.76,491.48,82.54,3.03,498.29,257.78,237.48
ORD-694188,PROD-000496,2,35.65,0.0,0.0,71.3,14.26,5.07,90.63,27.04,58.52
ORD-501684,PROD-000302,2,91.63,0.0,0.0,183.26,12.83,6.44,202.53,74.28,121.81
ORD-674275,PROD-000274,2,56.93,0.2573067886215817,29.3,113.86,5.92,0.1499999999999999,90.63,57.02,33.46
ORD-431368,PROD-000248,1,52.19,0.141173324464835,7.37,52.19,4.48,6.48,55.78,25.41,23.89
ORD-324410,PROD-000611,2,196.29,0.0810959366637754,31.84,392.58,72.15,5.19,438.08,176.84,256.05
ORD-392190,PROD-000046,1,620.16,0.0264112236312458,16.38,620.16,42.26,3.09,649.13,374.43,271.61
ORD-316037,PROD-000031,3,355.47,0.3345713224775593,356.79,1066.41,35.48,4.58,749.68,685.32,59.78
ORD-952369,PROD-000351,1,351.76,0.2494898098653996,87.76,351.76,18.48,2.5700000000000003,285.05,169.63,112.85
ORD-826759,PROD-001001,2,689.07,0.1433186707732007,197.51,1378.14,224.32,19.92,1424.87,880.64,524.31
ORD-169466,PROD-000472,2,14.0,0.1396384008782355,3.91,28.0,1.69,3.13,28.91,11.38,14.4
ORD-618866,PROD-000377,2,158.49,0.1910804597164071,60.57,316.98,48.72,0.0,305.13,131.52,173.61
ORD-571423,PROD-001000,1,344.3,0.1218834304011993,41.96,344.3,21.16,0.8399999999999999,324.34,167.68,155.82
ORD-396890,PROD-000931,3,253.43,0.0086398466849151,6.57,760.29,135.67,0.5499999999999998,889.94,451.86,437.53
ORD-617570,PROD-000442,3,129.13,0.051723940598825,20.04,387.39,25.71,3.05,396.11,249.0,144.06
ORD-674930,PROD-001131,3,103.68,0.0,0.0,311.04,21.77,6.42,339.23,163.14,169.67
ORD-210462,PROD-000111,2,349.18,0.1970686722534929,137.62,698.36,112.15,5.26,678.15,411.66,261.23
ORD-189761,PROD-000385,1,356.3,0.2237583593634865,79.73,356.3,49.78,2.32,328.67,197.41,128.94
ORD-326146,PROD-000963,1,531.57,0.0,0.0,531.57,69.1,3.64,604.31,277.92,322.75
ORD-375003,PROD-001004,4,99.24,0.2527066469251954,100.31,396.96,20.77,6.31,323.73,224.16,93.26
ORD-969431,PROD-000299,2,103.53,0.1743303041475547,36.1,207.06,34.19,4.82,209.97,72.72,132.43
ORD-509719,PROD-001117,1,101.01,0.0182450075526248,1.84,101.01,12.89,17.04,129.1,36.4,75.66
ORD-295130,PROD-000374,3,64.86,0.2891487069651963,56.26,194.58,9.68,23.5,171.5,111.33,36.67
ORD-226486,PROD-000573,1,25.69,0.0936090988356283,2.4,25.69,4.43,20.11,47.83,12.17,15.55
ORD-716048,PROD-000382,1,293.72,0.2432818513171509,71.46,293.72,15.56,2.91,240.73,126.33,111.49
ORD-507418,PROD-000404,1,498.63,0.1018607451471899,50.79,498.63,31.35,14.52,493.71,238.27,240.92
ORD-205298,PROD-000335,1,351.08,0.1421017379516402,49.89,351.08,21.08,1.0700000000000005,323.34,187.15,135.12
ORD-739435,PROD-000994,1,971.74,0.0,0.0,971.74,194.35,12.38,1178.47,516.28,649.81
ORD-360952,PROD-000197,5,55.85,0.1950134988625727,54.46,279.25,22.48,22.42,269.69,96.5,150.77
ORD-726019,PROD-000638,5,528.46,0.3844583036385301,1015.85,2642.3,162.65,6.289999999999999,1795.39,1846.7,-57.6
ORD-737759,PROD-000054,5,1146.68,0.2980470062451987,1708.82,5733.4,281.72,5.5,4311.8,3288.45,1017.85
ORD-821059,PROD-001162,1,277.18,0.1978527499105551,54.84,277.18,15.56,6.13,244.03,123.57,114.33
ORD-428680,PROD-000573,1,25.69,0.1313645928171003,3.37,25.69,4.46,3.38,30.16,12.17,14.61
ORD-386272,PROD-000232,2,43.94,0.0,0.0,87.88,6.15,0.8799999999999999,94.91,28.88,65.15
ORD-652936,PROD-000701,2,550.75,0.0818618003767143,90.17,1101.5,70.79,6.39,1088.51,616.74,465.38
ORD-553232,PROD-001070,2,76.09,0.2389113975041788,36.36,152.18,8.11,24.39,148.32,54.76,69.17
ORD-580885,PROD-000045,4,355.82,0.1397050134187336,198.84,1423.28,85.71,15.09,1325.24,807.76,502.39
ORD-586331,PROD-000549,3,16.24,0.198519588182627,9.67,48.72,2.73,14.79,56.57,21.99,19.79
ORD-812145,PROD-001042,3,48.6,0.1798807515535379,26.23,145.8,8.37,0.9700000000000002,128.91,63.15,64.79
ORD-255711,PROD-000392,1,148.41,0.1145203912652295,17.0,148.41,9.2,3.27,143.88,80.17,60.44
ORD-135391,PROD-000010,1,868.5,0.227041609393831,197.19,868.5,46.99,12.26,730.56,537.15,181.15
ORD-151500,PROD-000622,1,115.83,0.0872473600866663,10.11,115.83,7.4,12.35,125.47,63.26,49.86
ORD-242275,PROD-000935,1,331.14,0.2135147121715968,70.7,331.14,18.23,3.14,281.81,194.72,83.95
ORD-230881,PROD-000717,3,155.85,0.231982220510761,108.46,467.55,71.82,19.66,450.57,260.46,170.45
ORD-179983,PROD-000752,2,251.35,0.1625219409416147,81.7,502.7,79.99,3.3,504.29,286.42,214.57
ORD-150153,PROD-000280,1,60.74,0.0042653949184591,0.26,60.74,4.23,6.09,70.8,27.04,37.67
ORD-987137,PROD-000354,1,256.59,0.0736836043250363,18.91,256.59,47.54,5.41,290.63,145.85,139.37
ORD-305392,PROD-000542,5,77.03,0.4171707205812666,160.67,385.15,15.71,6.46,246.65,129.05,111.14
ORD-894321,PROD-000128,1,587.72,0.0,0.0,587.72,41.14,3.59,632.45,327.5,301.36
ORD-140636,PROD-000293,1,110.24,0.207356510350676,22.86,110.24,6.12,11.6,105.1,51.23,42.27
ORD-729296,PROD-001040,1,6.31,0.2471283103417401,1.56,6.31,0.9,4.85,10.5,1.97,3.68
ORD-888144,PROD-000824,2,140.33,0.1190217635906634,33.4,280.66,44.51,4.29,296.06,100.18,191.59
ORD-968572,PROD-000547,2,79.47,0.1215403718412216,19.32,158.94,18.15,14.27,172.04,77.14,80.63
ORD-422529,PROD-000407,2,335.89,0.2301087698980725,154.58,671.78,36.2,3.02,556.42,290.2,263.2
ORD-620779,PROD-000461,3,102.67,0.2628828779345818,80.97,308.01,43.14,9.24,279.42,143.94,126.24
ORD-635752,PROD-000452,1,369.5,0.2343230359581238,86.58,369.5,53.75,1.5099999999999998,338.18,183.27,153.4
ORD-669234,PROD-000146,1,590.68,0.1369167569763188,80.87,590.68,50.98,22.73,583.52,247.02,313.77
ORD-825679,PROD-000089,3,714.16,0.3924178422729354,840.75,2142.48,130.17,9.34,1441.24,1253.76,178.14
ORD-376647,PROD-001093,1,85.12,0.0468162911057747,3.99,85.12,5.68,14.81,101.62,31.6,55.21
ORD-772475,PROD-000160,1,175.08,0.1052669806986408,18.43,175.08,10.97,11.7,179.32,103.44,64.18
ORD-668917,PROD-000823,1,104.83,0.0001378655980744,0.01,104.83,5.24,8.07,118.13,32.48,77.58
ORD-718709,PROD-000898,2,214.37,0.2300711606971683,98.64,428.74,23.11,0.1,353.31,129.9,223.31
ORD-869225,PROD-000891,1,231.02,0.0889709912415698,20.55,231.02,14.73,3.45,228.65,96.69,128.51
ORD-176265,PROD-000781,3,229.09,0.2544512275932029,174.88,687.27,35.87,5.6,553.86,252.75,295.51
ORD-762057,PROD-000477,1,54.74,0.0,0.0,54.74,3.83,3.05,61.62,25.92,32.65
ORD-957009,PROD-000163,3,32.72,0.2891115002832515,28.38,98.16,13.96,9.3,93.04,37.71,46.03
ORD-280735,PROD-000076,1,517.19,0.0,0.0,517.19,98.27,5.21,620.67,359.24,256.22
ORD-843638,PROD-000594,1,170.56,0.1129806623431355,19.27,170.56,19.67,3.53,174.49,52.81,118.15
ORD-105290,PROD-000609,3,134.12,0.1055394231369127,42.46,402.36,71.98,4.74,436.62,174.06,257.82
ORD-936652,PROD-000630,1,60.64,0.1115852410940512,6.77,60.64,3.77,3.3200000000000003,60.96,29.21,28.43
ORD-749446,PROD-000041,1,1249.67,0.0692949133526969,86.6,1249.67,232.61,20.32,1416.0,848.8,546.88
ORD-397948,PROD-000143,3,409.07,0.1495029677064343,183.47,1227.21,73.06,5.96,1122.76,763.23,353.57
ORD-757720,PROD-000394,3,282.1,0.1027915596833056,86.99,846.3,53.15,5.97,818.43,540.69,271.77
ORD-318847,PROD-000601,3,191.95,0.0906208597877515,52.18,575.85,36.66,20.79,581.12,278.94,281.39
ORD-985780,PROD-000064,1,514.41,0.110938843947651,57.07,514.41,32.01,3.46,492.81,266.78,222.57
ORD-740125,PROD-000426,1,74.84,0.0,0.0,74.84,5.24,6.11,86.19,31.63,48.45
ORD-974388,PROD-000543,1,24.07,0.0831901308974729,2.0,24.07,1.54,12.4,36.01,9.8,13.81
ORD-573825,PROD-000083,5,399.73,0.1552627510523525,310.32,1998.65,168.83,35.99,1893.15,1282.45,574.71
ORD-578064,PROD-000445,1,133.52,0.1396238624872134,18.64,133.52,8.04,24.28,147.2,86.64,36.28
ORD-970864,PROD-001126,1,235.63,0.0452418304272498,10.66,235.63,44.99,20.42,290.38,115.51,154.45
ORD-233292,PROD-000912,3,335.86,0.0229154778203757,23.09,1007.58,68.91,5.76,1059.16,587.25,466.15
ORD-959298,PROD-000543,2,24.07,0.0543480992541801,2.62,48.14,8.65,5.45,59.62,19.6,34.57
ORD-330870,PROD-001161,2,54.57,0.1161901780449958,12.68,109.14,6.75,14.77,117.98,48.36,54.85
ORD-971857,PROD-000938,3,229.61,0.4799556830688531,330.61,688.83,71.64,12.93,442.79,344.4,85.46
ORD-471869,PROD-000702,1,423.62,0.0143340953396241,6.07,423.62,29.23,11.52,458.3,270.26,176.52
ORD-883623,PROD-000686,4,408.03,0.4768979312439814,778.35,1632.12,59.76,3.96,917.49,879.2,34.33
ORD-608717,PROD-000890,4,233.3,0.0640064747356997,59.73,933.2,61.14,2.71,937.32,486.72,447.89
ORD-168041,PROD-000758,1,124.59,0.1660357964730592,20.69,124.59,7.27,6.48,117.65,58.8,52.37
ORD-787727,PROD-000022,2,663.78,0.0026478708274831,3.52,1327.56,92.68,6.36,1423.08,738.38,678.34
ORD-243311,PROD-000074,2,1303.99,0.0953704939698709,248.72,2607.98,165.15,23.78,2548.19,1647.0,877.41
ORD-761408,PROD-000899,3,337.77,0.4565295365924723,462.61,1013.31,38.55,5.56,594.81,461.79,127.46
ORD-699823,PROD-001118,1,133.21,0.0,0.0,133.21,9.32,15.16,157.69,70.2,72.33
ORD-123398,PROD-000363,4,251.16,0.4299464520530233,431.94,1004.64,114.54,5.11,692.35,393.56,293.68
ORD-585220,PROD-001060,1,88.76,0.1011668254057409,8.98,88.76,5.58,3.81,89.17,40.26,45.1
ORD-930174,PROD-000263,3,91.67,0.193185992722554,53.13,275.01,42.16,5.33,269.37,110.07,153.97
ORD-265045,PROD-000080,4,117.02,0.5701585265061188,266.88,468.08,14.08,2.97,218.25,262.76,-47.48
ORD-831046,PROD-000053,2,1073.78,0.0,0.0,2147.56,386.56,1.2800000000000002,2535.4,1400.9,1133.22
ORD-977080,PROD-000926,1,159.99,0.1194982773965999,19.12,159.99,28.17,4.93,173.97,50.1,118.94
ORD-843778,PROD-000917,5,286.73,0.0719257381140151,103.12,1433.65,93.14,3.59,1427.26,703.6,720.07
ORD-367554,PROD-000308,4,202.66,0.3234437443511471,262.2,810.64,38.39,3.1,589.93,465.0,121.83
ORD-331647,PROD-000678,1,347.89,0.1746066524451594,60.74,347.89,20.1,3.5,310.75,187.58,119.67
ORD-494806,PROD-000356,4,298.97,0.060700574395214,72.59,1195.88,224.66,4.68,1352.63,489.96,857.99
ORD-275888,PROD-000888,3,309.85,0.3930266624826496,365.34,929.55,107.2,0.2299999999999999,671.64,339.03,332.38
ORD-111770,PROD-000129,1,614.55,0.0835382270006665,51.34,614.55,39.42,6.1,608.73,369.26,233.37
ORD-773021,PROD-001159,5,253.06,0.1425203494162281,180.33,1265.3,216.99,9.96,1311.92,633.55,668.41
ORD-940830,PROD-000873,2,96.46,0.0197824950760174,3.82,192.92,37.82,4.94,231.86,70.92,156.0
ORD-608855,PROD-001059,1,11.7,0.0491423926059955,0.57,11.7,2.0,15.72,28.85,3.47,9.66
ORD-147754,PROD-001040,1,6.31,0.0,0.0,6.31,1.26,5.23,12.8,1.97,5.6
ORD-741921,PROD-000024,1,1482.95,0.190320503264311,282.24,1482.95,84.05,5.83,1290.59,970.52,314.24
ORD-787076,PROD-000515,1,49.71,0.2182575968548517,10.85,49.71,2.72,0.2599999999999998,41.84,17.46,24.12
ORD-812845,PROD-000457,1,110.35,0.0,0.0,110.35,22.07,9.9,142.32,46.49,85.93
ORD-877773,PROD-000171,3,191.76,0.1789949630066806,102.97,575.28,89.74,4.85,566.9,244.77,317.28
ORD-878217,PROD-000199,1,271.1,0.0622752303223899,16.88,271.1,12.71,4.88,271.81,119.88,147.05
ORD-500817,PROD-001151,1,141.88,0.0443911402791376,6.3,141.88,6.78,5.0,147.36,66.5,75.86
ORD-527048,PROD-000172,3,262.5,0.0933200210067271,73.49,787.5,142.8,0.1899999999999999,857.0,246.93,609.88
ORD-684744,PROD-000169,1,211.72,0.1828739619663394,38.72,211.72,12.11,5.92,191.03,73.84,111.27
ORD-333566,PROD-000667,1,53.09,0.0262469513545978,1.39,53.09,3.62,12.21,67.53,25.73,29.59
ORD-754005,PROD-000119,2,149.4,0.1088912254406112,32.54,298.8,18.64,15.01,299.91,167.5,117.4
ORD-898207,PROD-000227,3,145.73,0.0609298583288246,26.64,437.19,28.74,2.83,442.12,225.75,213.54
ORD-217578,PROD-000004,3,1120.49,0.0657170413056569,220.91,3361.47,219.84,6.05,3366.45,1694.58,1665.82
ORD-610748,PROD-000978,2,677.96,0.072436869191782,98.22,1355.92,88.04,14.95,1360.69,574.28,771.46
ORD-447207,PROD-000844,2,249.48,0.0997242086472317,49.76,498.96,31.44,3.24,483.88,234.12,246.52
ORD-402691,PROD-000469,1,56.47,0.0,0.0,56.47,11.29,4.85,72.61,22.3,45.46
ORD-217438,PROD-000710,4,116.25,0.3850616301969283,179.05,465.0,57.19,16.51,359.65,309.04,34.1
ORD-930129,PROD-000877,2,180.43,0.215138068083104,77.63,360.86,19.83,20.8,323.86,150.22,152.84
ORD-567393,PROD-000076,2,517.19,0.4812362531426588,497.78,1034.38,37.56,3.0,577.16,718.48,-144.32
ORD-538790,PROD-000383,5,403.78,0.1062254876860799,214.46,2018.9,126.31,3.75,1934.5,1105.4,825.35
ORD-503242,PROD-000883,2,335.53,0.0753763532169421,50.58,671.06,43.43,5.66,669.57,302.06,361.85
ORD-826045,PROD-000260,2,111.12,0.0690841216807256,15.35,222.24,14.48,12.04,233.41,106.68,114.69
ORD-759596,PROD-000762,4,28.01,0.0184704842490952,2.07,112.04,19.79,7.09,136.85,43.12,86.64
ORD-641712,PROD-000087,1,499.04,0.0452910811369912,22.6,499.04,33.35,12.32,522.11,211.74,298.05
ORD-805834,PROD-001034,1,46.19,0.0414023273668836,1.91,46.19,4.43,35.85,84.56,12.62,36.09
ORD-613985,PROD-000030,3,1028.82,0.4940216716504633,1524.78,3086.46,312.34,2.09,1876.11,2090.91,-216.89
ORD-938856,PROD-000572,1,100.06,0.2051905267422197,20.53,100.06,15.91,2.08,97.52,31.47,63.97
ORD-324161,PROD-000682,3,86.57,0.4287311199844166,111.35,259.71,10.39,3.22,161.97,170.91,-12.16
ORD-717471,PROD-000084,2,697.11,0.1342704446104285,187.2,1394.22,84.49,1.09,1292.6,660.32,631.19
ORD-242088,PROD-000216,3,269.35,0.2801095490811525,226.34,808.05,29.09,8.02,618.82,386.31,224.49
ORD-444701,PROD-000271,2,147.88,0.0092823063722321,2.75,295.76,20.51,11.57,325.09,150.76,162.76
ORD-399214,PROD-001103,5,118.03,0.2650446733093257,156.42,590.15,30.36,0.4700000000000002,464.56,187.2,276.89
ORD-828591,PROD-000807,2,17.43,0.2115851624859508,7.38,34.86,5.22,1.88,34.58,13.84,18.86
ORD-366843,PROD-000870,5,76.28,0.0182063706623129,6.94,381.4,18.72,20.08,413.26,181.85,211.33
ORD-676952,PROD-000906,2,115.43,0.1919351767810394,44.31,230.86,35.44,3.36,225.35,114.04,107.95
ORD-939335,PROD-000154,2,183.17,0.1820086099982474,66.68,366.34,20.98,0.9900000000000002,321.63,157.3,163.34
ORD-761041,PROD-001012,3,146.3,0.3577058693236731,157.0,438.9,28.19,6.220000000000001,316.31,212.13,97.96
ORD-462216,PROD-000117,1,362.23,0.0,0.0,362.23,25.36,15.37,402.96,201.57,186.02
ORD-850708,PROD-000053,4,1073.78,0.2599119431392923,1116.35,4295.12,222.51,3.1,3404.38,2801.8,599.48
ORD-455516,PROD-000007,3,761.53,0.3461104955515844,790.72,2284.59,298.77,5.22,1797.86,1275.36,517.28
ORD-890067,PROD-000830,4,217.25,0.1087384276554955,94.49,869.0,54.22,3.36,832.09,388.6,440.13
ORD-501919,PROD-000817,2,23.84,0.1824547662296407,8.7,47.68,2.73,2.6900000000000004,44.4,18.38,23.33
ORD-491103,PROD-000812,1,79.22,0.1270010593884172,10.06,79.22,4.84,3.45,77.45,42.8,31.2
ORD-125426,PROD-000099,3,188.94,0.0435972477201629,24.71,566.82,37.95,6.47,586.53,300.72,279.34
ORD-178215,PROD-000592,1,191.74,0.0474005431479264,9.09,191.74,12.79,5.78,201.22,95.24,100.2
ORD-857440,PROD-000290,2,35.47,0.0126298656122145,0.9,70.94,14.01,2.3,86.35,36.56,47.49
ORD-105483,PROD-000271,1,147.88,0.0526581968884118,7.79,147.88,9.81,6.14,156.04,75.38,74.52
ORD-368263,PROD-000078,3,853.43,0.0,0.0,2560.29,179.22,6.48,2745.99,1575.54,1163.97
ORD-729670,PROD-000782,2,116.11,0.1753848266044088,40.73,232.22,36.38,4.83,232.7,135.94,91.93
ORD-668060,PROD-000729,1,201.15,0.1572020267257078,31.62,201.15,22.04,17.27,208.84,117.59,73.98
ORD-317263,PROD-001039,3,23.93,0.0337077856186231,2.42,71.79,4.86,14.6,88.83,33.69,40.54
ORD-791388,PROD-000922,1,164.97,0.0,0.0,164.97,11.55,3.43,179.95,56.14,120.38
ORD-655952,PROD-000088,3,793.04,0.1545530161319315,367.7,2379.12,140.8,2.6500000000000004,2154.87,1034.97,1117.25
ORD-244866,PROD-000603,1,137.35,0.0739178534169637,10.15,137.35,6.36,7.9,141.46,47.56,86.0
ORD-992729,PROD-000623,1,22.99,0.1549870816912952,3.56,22.99,1.36,5.62,26.41,7.84,12.95
ORD-946764,PROD-000460,1,269.54,0.1960469730385285,52.84,269.54,43.34,1.87,261.91,123.39,136.65
ORD-529833,PROD-000076,1,517.19,0.0,0.0,517.19,36.2,5.92,559.31,359.24,194.15
ORD-141306,PROD-000675,1,563.36,0.2408339434640346,135.68,563.36,29.94,3.24,460.86,234.18,223.44
ORD-586726,PROD-000907,3,298.77,0.3954777548275294,354.47,896.31,37.93,2.54,582.31,275.25,304.52
ORD-928449,PROD-000215,1,79.21,0.0159246089700835,1.26,79.21,5.46,0.4900000000000002,83.9,31.55,51.86
ORD-523684,PROD-001173,5,34.68,0.0188308245548027,3.27,173.4,11.91,3.44,185.48,68.75,113.29
ORD-283070,PROD-000340,1,233.66,0.1464230764963858,34.21,233.66,13.96,5.77,219.18,135.26,78.15
ORD-650125,PROD-000416,4,322.45,0.4463425518456221,575.69,1289.8,49.99,3.2300000000000004,767.33,502.2,261.9
ORD-354666,PROD-000874,1,119.97,0.0,0.0,119.97,8.4,14.78,143.15,64.39,63.98
ORD-593011,PROD-000826,1,218.79,0.179591314370197,39.29,218.79,12.57,5.8,197.87,72.78,119.29
ORD-903290,PROD-000838,1,222.03,0.0,0.0,222.03,44.41,5.34,271.78,91.49,174.95
ORD-564258,PROD-000041,4,1249.67,0.314963966429001,1574.4,4998.68,239.7,6.25,3670.23,3395.2,268.78
ORD-910343,PROD-000328,4,311.8,0.064083708290647,79.93,1247.2,210.11,3.72,1381.1,469.76,907.62
ORD-457906,PROD-000739,2,222.1,0.1404634405276259,62.39,444.2,26.73,15.46,424.0,189.32,219.22
ORD-200890,PROD-000676,3,170.89,0.2088086344327529,107.05,512.67,77.07,9.68,492.37,317.46,165.23
ORD-593204,PROD-000690,2,170.0,0.1174466056161923,39.93,340.0,57.01,0.0,357.08,152.8,204.28
ORD-812271,PROD-001080,2,96.19,0.005068520518595,0.98,192.38,13.4,3.19,207.99,77.74,127.06
ORD-181676,PROD-000528,1,37.36,0.0450395640588921,1.68,37.36,6.78,9.11,51.57,15.65,26.81
ORD-407390,PROD-000802,1,84.69,0.1125104536031773,9.53,84.69,14.28,1.83,91.27,39.74,49.7
ORD-934114,PROD-000678,1,347.89,0.1220399517730982,42.46,347.89,30.54,8.78,344.75,187.58,148.39
ORD-344799,PROD-000046,2,620.16,0.1554006336610779,192.75,1240.32,73.33,5.79,1126.69,748.86,372.04
ORD-766345,PROD-000087,3,499.04,0.2117030261196202,316.94,1497.12,82.61,6.18,1268.97,635.22,627.57
ORD-298594,PROD-000871,2,211.44,0.0998299322545637,42.22,422.88,76.13,12.59,469.38,127.26,329.53
ORD-285751,PROD-000128,4,587.72,0.452402008468774,1063.54,2350.88,90.11,5.87,1383.32,1310.0,67.45
ORD-226032,PROD-000145,2,532.75,0.1051583901241982,112.05,1065.5,66.74,6.05,1026.24,453.14,567.05
ORD-739522,PROD-000516,2,43.85,0.0862400000841702,7.56,87.7,5.61,2.87,88.62,40.44,45.31
ORD-915863,PROD-001148,1,163.03,0.0385454493458293,6.28,163.03,10.97,6.01,173.73,57.53,110.19
ORD-594526,PROD-000630,2,60.64,0.1517232913950067,18.4,121.28,7.2,12.05,122.13,58.42,51.66
ORD-573571,PROD-000632,4,52.75,0.0221168496942178,4.67,211.0,39.2,5.28,250.81,92.6,152.93
ORD-890291,PROD-000729,1,201.15,0.1582287616349269,31.83,201.15,33.86,5.15,208.33,117.59,85.59
ORD-219468,PROD-000877,3,180.43,0.1038827192139656,56.23,541.29,33.95,5.96,524.97,225.33,293.68
ORD-240382,PROD-000002,1,978.26,0.1867725215672263,182.71,978.26,55.69,5.9,857.14,519.66,331.58
ORD-217398,PROD-000786,5,49.36,0.0326830973841974,8.07,246.8,31.03,4.12,273.88,142.05,127.71
ORD-573045,PROD-000445,4,133.52,0.1537413010531013,82.11,534.08,31.64,5.82,489.43,346.56,137.05
ORD-752604,PROD-000174,1,62.12,0.0,0.0,62.12,4.35,21.43,87.9,29.71,36.76
ORD-720192,PROD-000191,1,163.92,0.1286285544315689,21.08,163.92,10.0,3.01,155.85,87.71,65.13
ORD-939796,PROD-000895,4,19.92,0.2043186091989651,16.28,79.68,4.44,11.63,79.47,32.96,34.88
ORD-273270,PROD-000564,2,156.49,0.1717230073931949,53.75,312.98,18.15,24.11,301.49,107.58,169.8
ORD-668811,PROD-000496,1,35.65,0.1973036047019561,7.03,35.65,2.0,14.48,45.1,13.52,17.1
ORD-173717,PROD-000332,4,242.24,0.3830998398029374,371.21,968.96,41.84,3.03,642.62,426.56,213.03
ORD-847978,PROD-000741,1,215.55,0.1085481941464294,23.4,215.55,13.45,3.3200000000000003,208.92,104.58,101.02
ORD-379400,PROD-000124,2,148.55,0.1666084040627617,49.5,297.1,49.52,17.14,314.26,126.32,170.8
ORD-366278,PROD-000061,4,643.39,0.0,0.0,2573.56,463.24,2.85,3039.65,1345.2,1691.6
ORD-735039,PROD-000523,2,56.73,0.172126959755404,19.53,113.46,12.21,28.29,134.43,36.2,69.94
ORD-179423,PROD-000318,5,271.04,0.2514148625718668,340.72,1355.2,71.01,12.14,1097.63,533.75,551.74
ORD-293554,PROD-000415,2,391.19,0.2667286147753178,208.68,782.38,114.74,16.99,705.43,472.12,216.32
ORD-947100,PROD-000971,2,268.9,0.0300125160654768,16.14,537.8,36.52,5.88,564.06,215.36,342.82
ORD-621199,PROD-000534,5,72.59,0.3975602186072693,144.29,362.95,15.31,15.31,249.28,122.8,111.17
ORD-733181,PROD-000965,1,782.57,0.1339296566632559,104.81,782.57,135.55,4.87,818.18,466.72,346.59
ORD-758391,PROD-000926,1,159.99,0.0,0.0,159.99,11.2,3.02,174.21,50.1,121.09
ORD-506181,PROD-001089,2,80.31,0.3197756808083454,51.36,160.62,20.76,2.21,132.23,42.92,87.1
ORD-896110,PROD-000701,5,550.75,0.5072141307151511,1396.74,2753.75,271.4,0.0299999999999998,1628.44,1541.85,86.56
ORD-333280,PROD-000742,2,83.94,0.0605387480670792,10.16,167.88,11.04,14.49,183.25,59.28,109.48
ORD-259414,PROD-000516,1,43.85,0.0770379813513988,3.38,43.85,7.28,7.16,54.91,20.22,27.53
ORD-986677,PROD-001045,2,93.61,0.0810938729614053,15.18,187.22,17.2,5.06,194.3,72.28,116.96
