dish_id,category,dish_name
140,"Flavoured Milkshakes","Kesar Pistha"
141,"Flavoured Milkshakes","Vannila Milkshake"
142,"Flavoured Milkshakes","Rose Milkshake"
143,"Flavoured Milkshakes","Coffee Milkshake"
144,"Flavoured Milkshakes","Cold Badam Milk"
145,"Flavoured Milkshakes","Kaju Anjeer Milk Shake"
146,"Flavoured Milkshakes","Extra Ice Cream"
147,Noodles,"Veg Noodles"
148,Noodles,"Singapore Noodles"
149,Noodles,"Mushroom Noodles"
150,Noodles,"Shezwan Noodles"
151,Noodles,"Veg Hakka Noodles"
152,Kadai,"Kadai Mix Veg"
153,Kadai,"Kadai Panneer"
154,Kadai,"Kadai Mushroom"
155,Kadai,"Veg Kolapuri"
156,Kadai,"Kadai Gobi Mutter"
157,"North Special Dishes","Panneer Tikka Butter Masala"
158,"North Special Dishes","Veg Hyderabadhi"
159,"North Special Dishes","Baby Corn Mushroom Masala"
160,"North Special Dishes","Veg Jal Frezi"
161,"North Special Dishes","Baby Corn Green Masala"
162,"North Special Dishes","Dum Aloo Hyderabadhi"
163,"North Special Dishes","Veg Pepper Masla"
164,"North Special Dishes","Veg Patiala"
165,"North Special Dishes","Srinidhi Sagar Special"
166,Meals,"South Indian Meals"
167,Meals,"North Indian Meals"
168,Soups,"Veg Manchow"
169,Soups,"Tomato Soup"
170,Soups,"Sweet Corn Soup"
171,Soups,"HotSour Soup"
172,Soups,"Cream Of Veg"
173,Soups,"Cream Of Mushroom"
174,Soups,"Veg Clear Soup"
175,"Ice Creams In Cup","Tutty Fruity"
176,"Ice Creams In Cup",Vannila
177,"Ice Creams In Cup",Chocolate
178,"Ice Creams In Cup","Butter Scotch"
179,"Ice Creams In Cup","Black Current"
180,"Ice Creams In Cup",Pista
181,"Ice Creams In Cup",Strawberry
182,"Ice Creams In Cup",Mango
183,"Ice Creams In Cup",Pineapple
184,"Fresh Fruit Milkshakes",Pomegranate
185,"Fresh Fruit Milkshakes",Mango
186,"Fresh Fruit Milkshakes",Chikku
187,"Fresh Fruit Milkshakes",Strawberry
188,"Fresh Fruit Milkshakes",Muskmelon
189,"Fresh Fruit Milkshakes",Apple
190,"Fresh Fruit Milkshakes",Banana
191,Raitha,"Mix Raitha"
192,Raitha,"Boondi Raitha"
193,Raitha,"Aloo Raitha"
194,Raitha,"Cucumber Raitha"
195,Raitha,"Pineapple Raitha"
196,"Salad & Papad","Masala Papad"
197,"Salad & Papad","Green Salad"
198,"Salad & Papad","Cucumber Salad"
199,"Salad & Papad","Roasted Papad"
200,Beverages,Tea
201,Beverages,Coffee
202,Beverages,"Badam Milk"
203,Sweets,"Gulab Jamun"
204,"Ice Cream Soda","Vannila Soda"
205,"Ice Cream Soda","Strawberry Soda"
206,"Ice Cream Soda","Choclate Soda"
207,Dosas,"Rava Onion Masala"
208,Dosas,"Paper Masala"
209,Dosas,"Rava Dosa"
210,Dosas,"Onion Dosa"
211,Dosas,"Paper Plain"
212,Dosas,"Butter Masala"
213,Dosas,"Ghee Plain"
214,Dosas,"Rava Masala"
215,Dosas,"Masala Dosa"
216,Dosas,"Open Butter Masala"
217,Dosas,"Butter Plain"
218,Dosas,"Set Dosa"
219,Dosas,"Special Dosa"
220,Dosas,"Ghee Masala"
221,Dosas,"Plain Dosa"
222,Chaats,"Masala Puri"
223,Chaats,"Dahi Puri"
224,Chaats,"Samosa Masala"
225,Chaats,"Sev Puri"
226,Chaats,"Pani Puri"
227,Chaats,"Special Sev Puri"
228,Chaats,Bhel
229,Chaats,"Aloo Puri"
230,Chaats,"Papadi Chat"
231,Chaats,"Sev Dahi Batata Puri"
232,Chaats,"Special Bhel"
233,Chaats,"Tomato Puri"
234,Chaats,"Sev Batata Puri"
235,Chaats,Samosa
236,Recommended,"Al Faham Chicken"
237,Recommended,"Dragon Chicken"
238,Recommended,"Chicken Manchow Soup"
239,Recommended,"Chicken Noodles Soup"
240,Recommended,"Butter Chapati"
241,Recommended,"Butter Roti"
242,Recommended,"Thalassery Chicken Dum Biryani Serves 1"
243,Recommended,"Leaf Chicken Dum Biryani"
244,Recommended,"Chana Masala"
245,Recommended,"Thalassery Chicken Curry"
246,Recommended,"Nadan Chicken Curry"
247,Recommended,"Mutton Rogan Josh"
248,Recommended,"Chicken Kondattam"
249,Recommended,"Chicken Noodles"
250,Recommended,"Biryani rice"
251,Recommended,"Mutton biryani"
252,Recommended,"Chicken kebab"
253,Recommended,"Chicken masala"
254,Recommended,"Chicken fry"
255,Recommended,"Raggi ball"
256,Recommended,"Mutton fry"
257,Recommended,"Mutton chops"
258,Recommended,"Boiled egg"
259,Recommended,"Egg boti fry"
260,Biryani,"Chicken biryani"
261,Biryani,"Biryani rice"
262,Biryani,"Kabab Briyani"
263,Biryani,"Mutton biryani"
264,Biryani,"Egg Briyani"
265,Starter,"Chicken kebab"
266,Starter,"Chicken masala"
267,Starter,"Chicken fry"
268,Starter,"Guntur Chicken"
269,Starter,"Chilli chicken"
270,Starter,"Chicken Loly Pop"
271,Starter,"Raggi ball"
272,Starter,"Chikhen Lolli pop"
273,Starter,"Pudina Chicken"
274,"Main Course","Mutton fry"
275,"Main Course","Mutton masala"
276,"Main Course","Mutton chops"
277,"Main Course","Mutton kurma"
278,"Main Course","Mutton keema balls"
279,"Main Course","Mutton keem dry"
280,"Main Course","Bottiy fry"
281,"Main Course","Head Mutton"
282,"Main Course","Bottiy masala"
283,Egg,"Boiled egg"
284,Egg,"Egg masala"
285,Egg,"Egg Biryani"
286,Egg,"Egg boti fry"
287,Bread,"Leg Soup"
288,Bread,Paratha
289,Bread,"Pain Soup"
290,Rice,"White rice"
291,Item,"Chapati double layer"
292,Item,"Masala akki roti"
293,Item,"Ghee chapati"
294,Item,"Rice rasam papad"
295,Item,"2 chapati double layer with 2 curry"
296,Item,Dal
297,Item,"Veg carry"
298,Item,"Boiled egg"
299,Item,"2 masala akki roti with tomato curry"
300,Item,"2 chapati double layer with egg bhurji"
301,Recommended,"Mutton Pepper Dry"
302,Recommended,"Kalmi Kabab Chicken"
303,Recommended,"Steam Rice"
304,Recommended,"Curd Rice"
305,Recommended,"Biriyani Rice"
306,"Non Veg Starter","Chicken Kabab"
307,"Non Veg Starter","Chicken Ghee Roast"
308,"Non Veg Starter","Chicken Pepper Dry"
309,"Non Veg Starter","Mutton Pepper Dry"
310,"Non Veg Starter","French Chicken"
311,"Non Veg Starter","Mutton Maharaja"
312,"Non Veg Starter","Prawns Chilly"
313,"Non Veg Starter","Mutton Chilly"
314,"Non Veg Starter","Chilly Chicken"
315,"Non Veg Starter","Chicken Tikka"
316,"Non Veg Starter","Palak Chicken"
317,"Non Veg Starter","Lemon Chicken"
318,"Non Veg Starter","Chciken Lolypop"
319,"Non Veg Starter","Chicken 88"
320,"Non Veg Starter","Garlic Chicken"
321,"Non Veg Starter","Chicken Raja"
322,"Non Veg Starter","Chilly Chicken Andra"
323,"Non Veg Starter","Kundapur Chicken"
324,"Non Veg Starter","Chicken Kasturi"
325,"Non Veg Starter","Chciken 65"
326,"Non Veg Starter","Arabic Chicken"
327,"Non Veg Starter","Chicken Karavali"
328,"Non Veg Starter","Chicken Naati"
329,"Non Veg Starter","Chicken Manchuri"
330,"Non Veg Starter","Mutton Patiala"
331,"Non Veg Starter","Nisarga Spl Mutton"
332,"Non Veg Starter","Guntoor Chicken"
333,"Non Veg Starter","Mutton Ghee Roast"
334,"Non Veg Starter","Mutton Sukka"
335,"Non Veg Starter","Prawns Kabab"
336,Rice,"Paneer Fried Rice"
337,Rice,"Tomato Rice"
338,Rice,"Steam Rice"
339,Rice,"Mushroom Fried Rice"
340,Rice,"Egg Fried Rice"
341,Rice,"Veg Fried Rice"
342,Rice,"Ghee Rice"
343,Rice,"Dal Kichidi"
344,Rice,"Curd Rice"
345,Rice,"Palak kichidi"
346,Rice,"Lemon Rice"
347,Rice,"Jeera Rice"
348,"Non Veg Fried","Chicken Biriyani"
349,"Non Veg Fried","Chicken Fried Rice"
350,"Non Veg Fried","Biriyani Rice"
351,"Tandoori Starter","Tandoori Chicken"
352,"Tandoori Starter","Kalmi Kabab Chicken"
353,"Tandoori Starter","Tandoori Kabab Chicken"
354,"Tandoori Starter","Pudina Kabab Chicken"
355,"Tandoori Starter","Pepper Kabab Chicken"
356,"Veg Gravy","Dal Tadka"
357,"Veg Gravy","Egg Muighalai"
358,"Veg Gravy","Kaju Masala"
359,"Veg Gravy","Dal Fry"
360,"Veg Gravy","Mix Veg Curry"
361,"Veg Gravy","Veg Kadai"
362,"Veg Gravy","Veg Hyderabadi"
363,"Veg Gravy","Veg Kholapuri"
364,"Veg Gravy","Tomato Curry"
365,"Veg Gravy","Plain Palak"
366,"Indian Breads",Roti
367,"Indian Breads","Butter Naan"
368,"Indian Breads","Garlic Butter Naan"
369,"Indian Breads","Butter Roti"
370,"Indian Breads","Butter Kulcha"
371,"Indian Breads",Naan
372,"Indian Breads","Garlic Naan"
373,"Indian Breads",Kulcha
374,Paneer,"Paneer Butter Masala"
375,Paneer,"Paneer Kadai"
376,Paneer,"Paneer Masala"
377,Paneer,"Paneer Hydrabadi"
378,Paneer,"Paneer Kholapuri"
379,Mushroom,"Mushroom Masala"
380,Mushroom,"Mushroom Kholapuri"
381,Mushroom,"Mushroom Kadai"
382,Mushroom,"Mushroom Hydrabadi"
383,Egg,"Egg Ghee Roast"
384,Egg,"Egg Chilli"
385,Egg,"Egg Pepper Dry"
386,Egg,"Egg Manchuri"
387,Extra,"Cashew Nut Fry"
388,Extra,"Cucumber Salad"
389,Extra,"Green Salad"
390,Extra,"Cup Curd"
391,Soups,"Non Veg Soup Chicken"
392,Soups,"Veg Soup"
393,Beverages,"Butter Milk"
394,Beverages,"Fresh Lime Juice"
395,Beverages,"Fresh Lime Soda"
396,Biryani,"Malabar Chicken Fry Biryani"
397,Biryani,"Paneer Biryani"
398,Biryani,"Puttu Chicken Biryani"
399,"Swadh Signature","Kizhi Poratta Poth"
400,"Swadh Signature","Kizhi Poratta Chicken"
401,"Swadh Signature","Kizhi Poratta Egg"
402,"Swadh Signature","Kizhi Poratta Mix"
403,"Swadh Signature","Chicken Pothi Choru"
404,"Swadh Signature","Chicken Chatti Choru"
405,Breads,"Kerala Paratha"
406,Breads,Puttu
407,Breads,Appam
408,Breads,Chapati
409,"Breakfast Combos","Appam Egg Curry"
410,"Breakfast Combos","Puttu Egg Curry"
411,"Breakfast Combos","Puttu Kadala Curry"
412,"Breakfast Combos","Kerala Paratha Egg Curry"
413,"Breakfast Combos","Kerala Gheeroast Dosa"
414,"Breakfast Combos","Appam Chicken Curry"
415,"Breakfast Combos","Appam Kadala Curry"
416,"Breakfast Combos","Appam Poth Erachi Curry"
417,"Breakfast Combos","Kerala Parota Chicken Curry"
418,"Breakfast Combos","Kerala Parota Poth Erachi Curry"
419,"Breakfast Combos","Appam Egg Roast"
420,"Breakfast Combos","Egg Dosa"
421,"Breakfast Combos","Egg Appam"
422,"Breakfast Combos","Kerala Masala Dosa"
423,Snacks,"Spicy potato chips 500 gms"
424,Snacks,"Spicy potato chips 250 gms"
425,Snacks,"Masala peanuts"
426,Snacks,"Ribban pakoda 250 gms"
427,Snacks,"Combo for all boties wheel onion garlic triangle yellow boti"
428,Snacks,"Jackfruit chips"
429,Snacks,"Salted popcorn medium size"
430,Snacks,"Palak chakli 15 pcs"
431,Snacks,"Spicy chakli 24 pcs"
432,Snacks,"Kara pori spicy mure mure"
433,Snacks,"Triangle boti 100 gms"
434,Snacks,"Potato spring chips sabudana 70 gm"
435,Snacks,"Tomato chips 100 gms"
436,Snacks,"Sweet boti"
437,Snacks,"Mixed potato chips 250 gms"
438,Snacks,"Salted peanuts"
439,Snacks,"Rice butter murukku salted 200 gms"
440,Snacks,"Congress peanuts 200 gms"
441,Snacks,"Garlic chips 100 gms"
442,Snacks,"Onion chips 100 gms"
443,Snacks,"Wheel chips 100 gms"
444,Snacks,"Yellow boti 100 gms"
445,Snacks,"Salted moong dal 200 gms"
446,Snacks,"Special garlic nippat 20 pcs"
447,Snacks,"Nippat masala 20 pcs"
448,Snacks,"Spanish tomato potato chips"
449,Snacks,"Maxican pepper potato chips 500 gms"
450,Snacks,"Salted potato chips 500 gms"
451,Snacks,"Banana chips pepper 250 gms"
452,Snacks,"Banana chips masala 250 gms"
453,Snacks,"Spanish tomato potato chips 250 gms"
454,Snacks,"Maxican pepper potato chips 250 gms"
455,Snacks,"Salted potato chips 250 gms"
456,Snacks,"Masala peanuts 250 gms"
457,Snacks,"Banana chips pepper"
458,Snacks,"Banana chips masala"
459,Snacks,"Spanish tomato potato chips 500 gms"
460,Snacks,"Maxican pepper potato chips"
461,Snacks,"Salted potato chips"
462,Snacks,"Banana chips 500 gms"
463,Snacks,"Banana chips 250 gms"
464,Snacks,"Spicy potato chips"
465,Snacks,"Banana chips"
466,Snacks,"Bitterguard chips 250 gms"
467,Snacks,"Kodubale 200 gm"
468,Snacks,"Masala kodubale 250 gms"
469,Snacks,"Small kodubale 250 gms"
470,Snacks,"Topioca stick 500 gms"
471,Snacks,"Topioca chips 500 gms"
472,Snacks,"Bitterguard chips 500 gms"
473,Snacks,"Potato ginger chips 500 gms"
474,Snacks,"Potato pudina chips 500 gms"
475,Snacks,"Topioca stick 250 gms"
476,Snacks,"Topioca chips 250 gms"
477,Snacks,"Tomato muruku"
478,Snacks,"Potato ginger chips 250 gms"
479,Snacks,"Potato pudina chips 250 gms"
480,Snacks,"Topioca stick"
481,Snacks,"Topioca chips"
482,Snacks,"Bitterguard chips"
483,Snacks,"Potato ginger chips"
484,Snacks,"Potato pudina chips"
485,Snacks,"Banana chips pepper 500 gms"
486,Snacks,"Banana chips masala 500 gms"
487,Sweets,"Coconut cookies 250 gms"
488,Sweets,"Mure mure laddu 8 pcs"
489,Sweets,"Cocunut jaggery burfi 16pcs"
490,Sweets,"Groundnut chikki"
491,Sweets,"Kajjaya 200 gms"
492,Sweets,"Bakarwadi 250 gms"
493,Sweets,"Rose cookies 10 pcs"
494,Sweets,"White till ball 100 gms"
495,Namkeen,"Cornflakes 200gms"
496,Namkeen,"Without garlic mixture"
497,Namkeen,"Mixed mixture"
498,Namkeen,"Kara boondhi 200gms"
499,Namkeen,"Sev mixture 200gms"
500,Namkeen,"Special peanut mixture"
501,Namkeen,"Special garlic mixture"
502,Muruku,"Spicy butter muruku 250 gms"
503,Muruku,"Salted namakal muruku 200 gms"
504,Muruku,"Spicy namakal muruku 200 gms"
505,Muruku,"Salted butter muruku 250 gms"
506,Powder,"Sambar pudi 250 gms"
507,Recommended,"Combo for 1 NonVeg"
508,Recommended,"Hunan Paneer Dry Mini"
509,Recommended,"Hunan Paneer Dry Full"
510,Recommended,"Schezwan Paneer Dry Mini"
511,Recommended,"Schezwan Paneer Dry Full"
512,Recommended,"Hunan Chicken Dry Mini"
513,Recommended,"Hunan Chicken Dry Full"
514,Recommended,"Schezwan Chicken Dry Mini"
515,Recommended,"Schezwan Chicken Dry Full"
516,Recommended,"Veg Wheat Momo With Momo Chutney"
517,Recommended,"Chicken Wheat Momo With Momo Chutney"
518,Recommended,"Hunan Paneer Bowl"
519,Recommended,"Hunan Chicken Bowl"
520,Recommended,"Veg Chinese Fried Rice Half 500 ml"
521,Recommended,"Veg Chinese Hakka Noodles Half 500 ml"
522,Recommended,"Veg Chilli Garlic Noodles Half 500 ml"
523,Recommended,"Veg Schezwan Noodles Half 500 ml"
524,Recommended,"Chicken Fried Rice Half 500 ml"
525,Recommended,"Chicken Hakka Noodles Half 500 ml"
526,Recommended,"Chicken Chilli Garlic Noodles Half 500 ml"
527,"Pot Rice","Veg Manchurian Pot Rice"
528,"Pot Rice","Paneer Pot Rice"
529,"Pot Rice","Chicken Pot Rice"
530,Dessert,"Chocolate Mousse Small"
531,Dessert,"Black forest Mousse Cake"
532,Dessert,"Salted Caramel Choco Mousse"
533,Dessert,"Choco Lava"
534,Drinks,"Pepsi Pet Bottle"
535,Drinks,"7 Up"
536,Drinks,"Coolberg Peach"
537,Drinks,"Coolberg Cranberry"
538,Drinks,"Aam Panna"
539,Drinks,"Peach Ice Tea"
540,Drinks,"Masala Shikanji"
541,Drinks,"Lemon Ice Tea"
542,Drinks,Water
543,"Extra Dip & Crispy Noodles","Crispy Noodles"
544,"Extra Dip & Crispy Noodles","Extra Schezwan Dip"
545,"Extra Dip & Crispy Noodles","Extra Mayo Dip"
546,"Extra Dip & Crispy Noodles","Extra Sweet Chilli Dip"
547,"Extra Dip & Crispy Noodles","Extra Momo Chutney"
548,Recommended,Margherita
549,Recommended,"Veggie Feast"
550,Recommended,"Tandoori Paneer"
551,Recommended,"Country Feast"
552,Recommended,"Veggie Supreme"
553,Recommended,"Chicken Sausage"
554,Recommended,"Murg Malai Chicken"
555,Recommended,"Chicken Supreme"
556,Recommended,"Triple Chicken Feast"
557,Recommended,"Classic Onion Capsicum"
558,Recommended,"Cheesy Spicy Delight"
559,Recommended,"Chilli Paneer Sizzle"
560,Recommended,"Classic Chicken Pepperoni Onion"
561,Recommended,"Classic Herbed Chicken Capsicum"
562,Recommended,"Chatpata Chicken Feast"
563,Recommended,"Bold BBQ Veggie Thin n Crispy"
564,Recommended,"Spicy Schezwan Pasta Chicken"
565,Recommended,"Spicy Red Schezwan Pasta"
566,Recommended,"Sprinkled Fries New"
567,Recommended,"Spicy Baked Chicken Wings 4pc"
568,"Veg Pizza","Schezwan Margherita"
569,"Veg Pizza","Mexican Fiesta"
570,"Veg Pizza","Bold BBQ Veggies"
571,"Veg Pizza","Ultimate Tandoori Veggie"
572,"Veg Pizza","Mazedar Makhni Paneer"
573,"Veg Pizza",Margherita
574,"Veg Pizza","Corn Cheese"
575,"Veg Pizza","Veggie Feast"
576,"Veg Pizza","Spiced Paneer"
577,"Veg Pizza","Tandoori Paneer"
578,"Veg Pizza","Country Feast"
579,"Veg Pizza","Veggie Supreme"
580,"Veg Pizza","Margherita Pizza"
581,"Non Veg Pizza","Sausage Sweet Corn"
582,"Non Veg Pizza","Dhabe Da Keema"
583,"Non Veg Pizza","Sizzling Schezwan Chicken"
584,"Non Veg Pizza","Nawabi Murg Makhni"
585,"Non Veg Pizza","Chicken Sausage"
586,"Non Veg Pizza","Murg Malai Chicken"
587,"Non Veg Pizza","Chicken Tikka"
588,"Non Veg Pizza","Chicken Pepperoni"
589,"Non Veg Pizza","Chicken Supreme"
590,"Non Veg Pizza","Chicken Tikka Supreme"
591,"Non Veg Pizza","Triple Chicken Feast"
592,"Thin n Crispy Pizzas","Bold BBQ Veggie Thin n Crispy"
593,"Thin n Crispy Pizzas","Tandoori Paneer Thin n Crispy"
594,"Thin n Crispy Pizzas","Mexican Fiesta Thin n Crispy"
595,"Thin n Crispy Pizzas","Dhabe Da Keema Thin n Crispy"
596,"Thin n Crispy Pizzas","Chicken Pepperoni Thin n Crispy"
597,"Thin n Crispy Pizzas","Chicken Supreme Thin n Crispy"
598,"Hut CafÃƒÂ©","Cold Coffee"
599,"Hut CafÃƒÂ©","Cold Chocolate"
600,"Hut CafÃƒÂ©","Frappe Mocha"
601,"Hut CafÃƒÂ©","Masala Pop"
602,"Hut CafÃƒÂ©","Lemon Mint Mojito"
603,"Hut CafÃƒÂ©","Masala Lemonade"
604,"Hut CafÃƒÂ©","Masala Pepsi"
605,"Hut CafÃƒÂ©","Masala Mirinda"
606,"Hut CafÃƒÂ©","Pepsi Glass"
607,"Hut CafÃƒÂ©","Mirinda Glass"
608,"Hut CafÃƒÂ©","7Up Glass"
609,Pasta,"Spicy Schezwan Pasta Chicken"
610,Pasta,"Classic Mushroom Pasta"
611,Pasta,"Cosy Comfort White Sauce Pasta"
612,Pasta,"Cosy Comfort White Sauce Chicken Pasta"
613,Pasta,"Spicy Red Schezwan Pasta"
614,Pasta,"Tomato Twist Red Sauce Pasta"
615,Pasta,"Tandoori Murg Pasta"
616,Pasta,"Tandoori Paneer Pasta"
617,Pasta,"Penne McN Cheese Pasta"
618,Pasta,"Penne McN Cheese Chicken Pasta"
619,"One Plus One Medium @649","Super Value Deal 2 Medium Veg Pizzas starting at Rs 719 Save Upto 41"
620,"One Plus One Medium @649","Super Value Deal 2 Medium NonVeg Pizzas starting at Rs 749 Save Upto 39"
621,"Garlic Bread","Cheese Garlic Bread"
622,"Garlic Bread","Exotica Veggie Garlic Bread"
623,"Garlic Bread","Classic Bread Stix"
624,"Garlic Bread","Loaded Bread Stix"
625,"Garlic Bread","Garlic Bread Spicy Supreme"
626,"Garlic Bread","Masala Keema Garlic Bread"
627,Appetizer,"Cheezy Sprinkled Fries"
628,Appetizer,"BBQ Baked Chicken Wings 6pc"
629,Appetizer,"BBQ Baked Chicken Wings 4pc"
630,Appetizer,"Sprinkled Fries New"
631,Appetizer,"Spicy Baked Chicken Wings 4pc"
632,Appetizer,"Spicy Baked Chicken Wings 6pc"
633,Appetizer,"Jalapeno Poppers"
634,Appetizer,"Jalapeno Pepper Dip"
635,Appetizer,"Veg Mayonnaise Dip"
636,Appetizer,"Tomato Ketchup"
637,Appetizer,"Momo Dip"
638,Recommended,"Kara Kozhukattai 2 Pcs"
639,Recommended,"Sweet Kozhukattai 2 Pcs"
640,Recommended,"Green Peas Masala"
641,Recommended,"Palak Mushroom"
642,Recommended,"Kadai Panneer"
643,Recommended,"Malai Koftha"
644,Recommended,"Veg Mix Masala Curry"
645,Recommended,"Dhal Makhani"
646,Recommended,"Kadai Vegetable"
647,Recommended,"Panneer Butter Masala"
648,Recommended,"Mushroom Masala"
649,Recommended,"Paneer Tikka Masala"
650,Recommended,"Dhal Fry"
651,Recommended,"Kaju Mutter"
